id,schtyp,prog,female,race,ses,read,write,math,science,socst
1,1,3,1,1,1,34,44,40,39,41
2,1,3,1,1,2,39,41,33,42,41
3,1,2,0,1,1,63,65,48,63,56
4,1,2,1,1,1,44,50,41,39,51
5,1,2,0,1,1,47,40,43,45,31
6,1,2,1,1,1,47,41,46,40,41
7,1,2,0,1,2,57,54,59,47,51
8,1,2,1,1,1,39,44,52,44,48
9,1,3,0,1,2,48,49,52,44,51
10,1,1,1,1,2,47,54,49,53,61
11,1,2,0,1,2,34,46,45,39,36
12,1,3,0,1,2,37,44,45,39,46
13,1,3,1,1,2,47,46,39,47,61
14,1,2,0,1,3,47,41,54,42,56
15,1,3,0,1,3,39,39,44,26,42
16,1,3,0,1,1,47,31,44,36,36
17,1,2,1,1,2,47,57,48,44,41
18,1,3,0,1,2,50,33,49,44,36
19,1,1,1,1,1,28,46,43,44,51
20,1,2,0,1,3,60,52,57,61,61
21,1,1,0,1,2,44,44,61,50,46
22,1,3,0,1,2,42,39,39,56,46
23,1,2,1,2,1,65,65,64,58,71
24,1,2,0,2,2,52,62,66,47,46
25,1,1,1,2,2,47,44,42,42,36
26,1,2,1,2,3,60,59,62,61,51
27,1,2,0,2,2,53,61,61,57,56
28,1,1,1,2,2,39,53,54,50,41
29,1,1,0,2,1,52,44,49,55,41
30,1,2,1,2,3,41,59,42,34,51
31,2,1,1,2,2,55,59,52,42,56
32,1,3,1,2,3,50,67,66,66,56
33,1,2,1,2,1,57,65,72,54,56
34,2,2,1,1,3,73,61,57,55,66
35,2,1,1,1,1,60,54,50,50,51
36,1,1,1,3,1,44,49,44,35,51
37,1,3,1,3,1,41,47,40,39,51
38,1,2,0,3,1,45,57,50,31,56
39,1,2,1,3,3,66,67,67,61,66
40,1,1,0,3,1,42,41,43,50,41
41,1,2,0,3,2,50,40,45,55,56
42,1,3,1,3,2,46,52,55,44,56
43,1,2,1,3,1,47,37,43,42,46
44,1,3,1,3,1,47,62,45,34,46
45,1,3,1,3,1,34,35,41,29,26
46,1,2,1,3,1,45,55,44,34,41
47,1,2,1,3,1,47,46,49,33,41
48,1,2,0,3,2,57,55,52,50,51
49,1,3,0,3,3,50,40,39,49,47
50,1,1,0,3,2,50,59,42,53,61
51,1,1,1,3,3,42,36,42,31,39
52,1,2,1,3,1,50,46,53,53,66
53,1,3,0,3,2,34,37,46,39,31
54,2,1,1,3,1,47,54,46,50,56
55,2,2,1,3,2,52,49,49,44,61
56,1,3,0,4,2,55,45,46,58,51
57,1,2,1,4,2,71,65,72,66,56
58,1,3,0,4,2,55,41,40,44,41
59,1,2,1,4,2,65,67,63,55,71
60,1,2,0,4,2,57,65,51,63,61
61,1,2,1,4,3,76,63,60,67,66
62,1,1,0,4,3,65,65,48,63,66
63,1,1,1,4,1,52,65,60,56,51
64,1,3,1,4,3,50,52,45,58,36
65,1,2,1,4,2,55,54,66,42,56
66,1,3,1,4,2,68,62,56,50,51
67,1,3,0,4,1,37,37,42,33,32
68,1,2,0,4,2,73,67,71,63,66
69,1,3,1,4,1,44,44,40,40,31
70,1,1,0,4,1,57,52,41,47,57
71,1,1,1,4,2,57,62,56,58,66
72,1,3,1,4,2,42,54,47,47,46
73,1,2,1,4,2,50,52,53,39,56
74,1,2,1,4,2,57,50,50,51,58
75,1,3,0,4,2,60,46,51,53,61
76,1,2,0,4,3,47,52,51,50,56
77,1,2,1,4,1,61,59,49,44,66
78,1,2,1,4,2,39,54,54,53,41
79,1,2,1,4,2,60,62,49,50,51
80,1,2,0,4,3,65,62,68,66,66
81,1,2,0,4,1,63,43,59,65,44
82,1,2,1,4,3,68,62,65,69,61
83,1,3,1,4,2,50,62,41,55,31
84,1,1,0,4,2,63,57,54,58,51
85,1,1,0,4,2,55,39,57,53,46
86,1,1,0,4,3,44,33,54,58,31
87,1,1,1,4,2,50,52,46,50,56
88,1,2,1,4,3,68,60,64,69,66
89,1,3,1,4,1,35,35,40,51,33
90,1,2,1,4,3,42,54,50,50,52
91,1,3,1,4,3,50,49,56,47,46
92,1,1,1,4,3,52,67,57,63,61
93,1,2,1,4,3,73,67,62,58,66
94,1,2,0,4,3,55,49,61,61,56
95,1,2,0,4,3,73,60,71,61,71
96,1,2,1,4,3,65,54,61,58,56
97,1,2,0,4,3,60,54,58,58,61
98,1,3,1,4,1,57,60,51,53,37
99,1,1,1,4,3,47,59,56,66,61
100,1,2,1,4,3,63,65,71,69,71
101,1,2,1,4,3,60,62,67,50,56
102,1,2,0,4,3,52,41,51,53,56
103,1,2,0,4,3,76,52,64,64,61
104,1,2,0,4,3,54,63,57,55,46
105,1,2,1,4,2,50,41,45,44,56
106,1,3,1,4,2,36,44,37,42,41
107,1,3,0,4,1,47,39,47,42,26
108,1,1,0,4,2,34,33,41,36,36
109,1,1,1,4,2,42,39,42,42,41
110,1,3,1,4,2,52,55,50,54,61
111,1,1,1,4,1,39,54,39,47,36
112,1,2,1,4,2,52,59,48,55,61
113,1,2,0,4,2,44,52,51,63,61
114,1,2,0,4,3,68,65,62,55,61
115,1,1,0,4,1,42,49,43,50,56
116,1,2,1,4,2,57,59,54,50,56
117,1,3,0,4,3,34,49,39,42,56
118,1,1,1,4,2,55,62,58,58,61
119,1,1,1,4,1,42,57,45,50,43
120,1,2,1,4,3,63,52,54,50,51
121,1,3,1,4,2,68,59,53,63,61
122,1,2,1,4,2,52,59,58,53,66
123,1,1,0,4,3,68,59,56,63,66
124,1,3,1,4,1,42,54,41,42,41
125,1,2,1,4,1,68,65,58,59,56
126,1,1,0,4,2,42,31,57,47,51
127,1,2,0,4,3,63,59,57,55,56
128,1,2,0,4,3,39,33,38,47,41
129,1,1,1,4,1,44,44,46,47,51
130,1,1,1,4,3,43,54,55,55,46
131,1,2,1,4,3,65,59,57,46,66
132,1,2,0,4,2,73,62,73,69,66
133,1,3,0,4,2,50,31,40,34,31
134,1,1,0,4,1,44,44,39,34,46
135,1,2,1,4,1,63,60,65,54,66
136,1,2,0,4,2,65,59,70,63,51
137,1,2,1,4,3,63,65,65,53,61
138,1,3,1,4,2,43,57,40,50,51
139,1,2,1,4,2,68,59,61,55,71
140,1,3,0,4,2,44,41,40,50,26
141,1,3,0,4,3,63,44,47,53,56
142,1,3,1,4,2,47,42,52,39,51
143,1,3,0,4,2,63,63,75,72,66
144,1,1,0,4,3,60,65,58,61,66
145,1,3,1,4,2,42,46,38,36,46
146,1,2,0,4,3,55,62,64,63,66
147,1,2,1,4,1,47,62,53,53,61
148,1,3,1,4,2,42,57,51,47,61
149,1,1,0,4,1,63,49,49,66,46
150,1,3,0,4,2,42,41,57,72,31
151,1,3,1,4,2,47,46,52,48,46
152,1,2,1,4,3,55,57,56,58,61
153,1,3,0,4,2,39,31,40,39,51
154,1,2,0,4,3,65,65,66,61,66
155,1,1,0,4,2,44,44,46,39,51
156,1,2,1,4,2,50,59,53,61,61
157,1,1,0,4,2,68,59,58,77,66
158,1,1,1,4,2,52,54,55,53,51
159,1,2,0,4,3,55,61,54,49,61
160,1,2,1,4,2,55,65,55,50,61
161,1,2,1,4,1,57,62,72,61,61
162,1,3,1,4,2,57,52,40,61,56
163,1,2,1,4,1,52,57,64,58,56
164,1,3,0,4,2,31,36,46,39,46
165,1,3,0,4,1,36,49,54,61,36
166,1,2,1,4,2,52,59,53,61,51
167,1,1,0,4,2,63,49,35,66,41
168,1,2,0,4,2,52,54,57,55,51
169,1,1,0,4,1,55,59,63,69,46
170,1,2,0,4,3,47,62,61,69,66
171,1,2,0,4,2,60,54,60,55,66
172,1,2,0,4,2,47,52,57,53,61
173,1,1,1,4,1,50,62,61,63,51
174,2,2,0,4,2,68,59,71,66,56
175,2,1,1,4,3,36,57,42,50,41
176,2,2,0,4,2,47,47,41,42,51
177,2,2,0,4,2,55,59,62,58,51
178,2,3,0,4,2,47,57,57,58,46
179,2,2,1,4,2,47,65,60,50,56
180,2,2,1,4,3,71,65,69,58,71
181,2,2,0,4,2,50,46,45,58,61
182,2,2,1,4,2,44,52,43,44,51
183,2,2,0,4,2,63,59,49,55,71
184,2,3,1,4,2,50,52,53,55,56
185,2,2,0,4,2,63,57,55,58,41
186,2,2,1,4,2,57,62,63,55,41
187,2,1,1,4,2,57,41,57,55,52
188,2,2,1,4,3,63,62,56,55,61
189,2,2,0,4,2,47,59,63,53,46
190,2,2,1,4,2,47,59,54,58,46
191,2,2,1,4,3,47,52,43,48,61
192,2,2,0,4,3,65,67,63,66,71
193,2,2,1,4,2,44,49,48,39,51
194,2,2,1,4,3,63,63,69,61,61
195,2,1,0,4,2,57,57,60,58,56
196,2,2,0,4,3,44,38,49,39,46
197,2,2,0,4,3,50,42,50,36,61
198,2,2,1,4,3,47,61,51,63,31
199,2,2,0,4,3,52,59,50,61,61
200,2,2,0,4,2,68,54,75,66,66
