day,month,date,outlet_id,outlet_name,media_type,unit_of_analysis,topic_economy,topic_debates,topic_employment,topic_nhs,topic_polls,topic_schools,immigration,topic_eu,topic_housing,con_mention,lab_mention,ld_mention,snp_mention,pc_mention,ukip_mention,green_mention,cameron,miliband,clegg,sturgeon,wood,farage,bennett,tone_overall,posemo_overall,negemo_overall,con_tone,con_posemo,con_negemo,lab_tone,lab_posemo,lab_negemo,ld_tone,ld_posemo,ld_negemo,snp_tone,snp_posemo,snp_negemo,pc_tone,pc_posemo,pc_negemo,ukip_tone,ukip_posemo,ukip_negemo,green_tone,green_posemo,green_negemo,cameron_tone,cameron_posemo,cameron_negemo,miliband_tone,miliband_posemo,miliband_negemo,clegg_tone,clegg_posemo,clegg_negemo,sturgeon_tone,sturgeon_posemo,sturgeon_negemo,wood_tone,wood_posemo,wood_negemo,farage_tone,farage_posemo,farage_negemo,bennett_tone,bennett_posemo,bennett_negemo
30,3,30mar2015,73,Public tweets,social_media,tweet,.045759752,.017193867,.019833107,.054647777,.02503396,.036832914,.0036095479,.037842035,.037259847,.090859696,.14391616,.04176208,.069163591,.0072967205,.060081504,.012614011,.082010478,.034659423,.018202988,.0083834659,.00027168638,.016960993,.0037647972,45.023174,2.3397722,1.1955187,52.171669,2.7791073,1.5754336,38.321438,1.8094634,1.6933522,53.202183,2.6163568,.95542753,54.026829,3.1386981,.83428174,62.961594,4.8057446,.65664893,35.04874,1.7883592,2.7269573,55.744923,3.1210153,.53556925,44.626904,2.0277851,1.2289021,32.87141,1.9205264,2.3197761,48.895245,2.1395309,1.0602559,59.726898,3.7910185,.45916668,32.490002,.7514286,.59571427,56.729908,2.3792677,.46604118,52.546288,4.0231957,.20907217
31,3,31mar2015,73,Public tweets,social_media,tweet,.060213413,.018472023,.045104016,.07577116,.043400288,.020086084,.011970947,.027259685,.03169835,.10746951,.17530487,.064517573,.092763633,.044655666,.056088593,.0078909611,.062365495,.03080165,.028918579,.0075771161,.0013450502,.011881277,.00040351506,45.210114,2.5193155,1.2184998,50.276093,3.039053,1.7559992,39.773319,2.0640564,1.5910435,48.605003,2.4273663,.64360666,37.548306,1.6848043,1.1195264,54.292,3.3457129,.69823295,32.858139,1.4416866,1.6566187,66.120003,5.1267047,.42454547,40.759136,2.1332567,1.9584831,33.415009,1.4762009,1.6811209,51.573071,3.1235814,1.5438139,45.243137,2.0287573,.24656804,68.80233,2.8303332,0,37.583321,1.6080755,1.210717,46.93,2.8399999,1.2344444
1,4,01apr2015,73,Public tweets,social_media,tweet,.068566337,.017562086,.04556248,.067280106,.0342337,.037053525,.0082616005,.017463144,.025774216,.10512516,.22400317,.071831405,.070050463,.01563273,.036163054,.011427724,.049371723,.055407144,.022904918,.0037597704,.00044523599,.0065301275,.00049470662,46.501362,2.6413906,1.2083437,45.938217,2.8837411,1.6681741,40.463715,1.9073565,1.1519369,40.185429,1.8801653,1.0147865,40.886051,1.9681286,1.1803249,50.902721,2.9757278,.69177216,39.437866,2.0773051,1.2677429,75.731598,5.8577924,.90545458,47.56015,2.7442787,1.3244089,39.7644,1.8071518,1.2342501,32.573563,1.7740173,2.2191577,47.055134,2.7185526,1.8367106,17.513334,0,1.4722222,39.941441,1.8171213,1.130303,69.139999,4.6040001,0
2,4,02apr2015,73,Public tweets,social_media,tweet,.060412407,.11048625,.027124517,.070750967,.039195638,.050954327,.022239264,.028629856,.025079528,.050727107,.091144055,.029084299,.096426949,.049335379,.04484776,.023687799,.056436036,.05777096,.038201544,.079328559,.026755283,.070608951,.029652352,46.908146,2.7180972,1.2104056,47.281025,2.3944626,1.265056,41.738914,2.076061,1.2616391,49.051125,2.7907715,.62055665,53.900669,2.9052784,.68190283,27.255171,1.4129821,3.7538571,41.388031,2.1238189,1.1198291,75.265045,4.9869785,.36077937,43.617867,2.7305889,1.6277705,44.234913,2.6519616,1.206529,39.826447,2.4574499,1.2950038,67.873901,4.4528284,.57476193,13.320022,.65813166,6.1861358,37.446415,1.7670475,1.2317015,57.81908,2.9151533,.42507663
3,4,03apr2015,73,Public tweets,social_media,tweet,.04271384,.044601444,.010840255,.049347427,.033869054,.036403839,.0072268364,.0156941,.017581707,.059864093,.12781793,.047028366,.17295869,.034947686,.059918024,.021464782,.043253154,.034947686,.014669399,.19356057,.013536835,.031927515,.0065796571,43.100292,2.2836728,1.2602444,37.038406,1.8622433,1.5003694,39.323799,1.8667763,1.4786414,36.183109,2.0367088,1.5593004,50.192268,2.6186311,.6874088,24.036713,.74035496,2.999784,51.111134,2.4664626,1.0212241,56.916584,3.3710804,.2278392,41.213554,2.3159351,1.8452494,54.141373,3.3249846,.67384261,38.523529,2.4298162,1.7287133,43.502453,1.9508777,.77740878,12.874901,.67605579,7.3319917,55.836098,2.8259122,1.3542906,69.255577,4.9280329,.7993443
4,4,04apr2015,73,Public tweets,social_media,tweet,.036464836,.015605493,.015189347,.10148773,.039846025,.013732834,.0026009155,.014200998,.048741158,.062005825,.17077611,.029858511,.13529962,.01076779,.056231793,.0091552222,.044267584,.051290054,.0078547653,.16718686,.0024968788,.041250519,.0012484394,42.203056,2.3956861,1.605566,49.998173,3.8991358,1.8456627,46.161724,2.2687938,1.1393816,42.96521,2.3294947,1.212683,48.543736,2.9283006,1.4714841,54.763622,3.0873914,1.398599,62.929787,4.3483906,.94671601,62.387726,3.2874432,.33818182,33.97382,1.363302,1.1928555,41.655651,1.6322211,1.0212779,53.088543,2.722914,.93264902,32.40493,1.3025856,1.3601991,14.25625,.43979165,5.5366664,68.410492,5.6097226,1.2640858,83.037918,4.5995831,.19833334
5,4,05apr2015,73,Public tweets,social_media,tweet,.049551386,.018692223,.01699293,.065728657,.030043501,.022906471,.0040103318,.018352365,.030655248,.074904837,.12561175,.05118271,.15817021,.02243067,.082313761,.0059815119,.083673194,.039491571,.02052746,.060698748,.0052338229,.028548123,.00054377381,45.099205,2.8079493,1.5987195,50.912796,3.521688,1.536343,43.087528,2.2929168,1.8689989,46.394436,2.4956307,1.3600532,42.385872,1.9773443,1.2149677,49.502121,2.4468484,.85399997,33.830456,1.9552023,2.4887695,72.901932,4.6526136,.097159095,57.002201,2.7811291,.86350125,47.567211,1.6958003,.36270225,31.13586,.94999999,.66019869,38.484871,1.3250952,.89655095,58.223633,2.4915583,2.8246753,32.256786,3.6349525,3.4267859,43.403751,2.3299999,0
6,4,06apr2015,73,Public tweets,social_media,tweet,.047475655,.0099948747,.031586368,.052601229,.022808816,.024538698,.0028190671,.017555101,.025307534,.13326499,.16600461,.062467966,.14210661,.04606612,.1032163,.0096745258,.06791389,.01749103,.022808816,.025948232,.0011532548,.019669401,.00089697592,44.864494,2.7427211,1.4005433,45.802982,2.8405192,1.6919135,39.73003,2.2106099,1.7292435,43.034081,2.4054976,1.4787384,44.026119,2.1042244,.79472947,41.081337,1.9146593,.6722253,33.401733,1.7047858,2.173445,66.959335,3.7732451,.44211921,51.78297,3.1893303,1.5460755,42.572529,2.5116117,1.7172527,53.618401,3.7800844,1.5533988,41.856174,1.9365926,.62666667,70.817223,4.2522221,.96666664,55.77264,4.1480455,2.130228,39.532856,1.9728571,.27500001
7,4,07apr2015,73,Public tweets,social_media,tweet,.042472403,.037148673,.018006733,.082282938,.036522351,.025052845,.0080638845,.051984657,.032607846,.088311285,.16006419,.058091287,.11265951,.020903468,.062201519,.0062240665,.083692163,.047169812,.015384013,.045525718,.0007046113,.019924842,.0010177719,43.745159,2.6044445,1.4836733,44.516449,2.6900399,1.5952172,47.337467,2.7938175,1.7281829,41.979622,1.8725674,1.1636927,45.5984,2.821244,1.7603406,54.425449,2.8101685,.19565544,40.01395,2.2821333,1.3983134,61.502014,3.6389937,.74176103,38.498058,2.0598643,1.6005379,34.617493,2.2206142,2.3470209,38.435955,2.4538169,1.8675318,35.775261,2.1749356,1.9341788,57.477779,2.6805556,0,44.542278,2.4015913,1.9566405,25.310385,1.801923,2.9026923
8,4,08apr2015,73,Public tweets,social_media,tweet,.052738659,.032273509,.022300236,.064746477,.022978418,.035784099,.0057844976,.037459608,.029321419,.075397931,.15342881,.042565923,.090437628,.016076913,.057525832,.023736386,.054174811,.041010093,.0082179755,.026169864,.00063828938,.03450752,.00047871703,43.235901,2.4894929,1.5631783,39.916027,2.4189153,2.4899101,39.844978,2.3178523,1.7135491,39.847115,1.893627,1.3100562,44.813591,2.3019011,1.3695854,45.900547,2.3312407,.89647645,34.705257,1.7677809,2.2085714,73.785278,5.5229244,.42847058,43.888844,2.681922,1.8813549,36.176907,2.0558949,1.7728599,43.989807,2.135534,1.2837864,45.508446,2.7404115,.95285064,8.7406254,.32875001,6.3099999,40.60638,1.6992486,.94375724,33.131668,2.4908333,3.1900001
